TIME,REAR_FORCE_X,REAR_FORCE_Y,REAR_FORCE_Z,REAR_COFP_X,REAR_COFP_Y,REAR_COFP_Z,REAR_FREEMOMENT_X,REAR_FREEMOMENT_Y,REAR_FREEMOMENT_Z,LEAD_FORCE_X,LEAD_FORCE_Y,LEAD_FORCE_Z,LEAD_COFP_X,LEAD_COFP_Y,LEAD_COFP_Z,LEAD_FREEMOMENT_X,LEAD_FREEMOMENT_Y,LEAD_FREEMOMENT_Z,REAR_MOMENTUM_X,REAR_MOMENTUM_Y,REAR_MOMENTUM_Z,LEAD_MOMENTUM_X,LEAD_MOMENTUM_Y,LEAD_MOMENTUM_Z,REAR_RESULT,LEAD_RESULT,kh_time,fc_time,mer_time,br_time,mir_time
0.0,0.49831888409525726,6.089469515925002,60.051572129585715,0.13728,0.05682,0.0005,-0.009909704293809477,6.0000000000002787e-05,5.063989189015816,1.748406627330447e-274,-1.966334227927843e-275,-1.281984622832453e-274,,,,1.7390453330414397e-277,1.3504215969227288e-275,-1.7527979048663104e-274,0.0,0.0,0.0,0.0,-0.0,0.0,60.36158775190113,0.0,4512,5304,5496,5540,5540
0.00083,0.5016442402062713,6.089113834046901,60.03490046586679,0.1374,0.05714,0.0005,-0.009906762076809798,6.0000000000002516e-05,5.062598548943182,1.615352631364224e-274,3.5870675425882816e-275,4.937766739794685e-276,,,,1.1567784328714e-277,8.979159568631007e-276,-1.165466150240509e-274,4.070999873500168e-05,0.0004958083960523811,0.004888900429069765,1.369436850603481e-278,-6.598248433979846e-280,-5.018127806617191e-279,60.34499339774797,0.0,4512,5304,5496,5540,5540
0.00167,0.5049618432501755,6.088854858667195,60.018019793442456,0.1375,0.05677,0.0005,-0.009904626391403154,6.0000000000002326e-05,5.061613922278716,1.2672808013421502e-274,1.0231846336477833e-274,1.7323712423683387e-274,,,,2.8990944408920177e-278,2.243519050821446e-276,-2.912092866817041e-275,8.218418258557421e-05,0.0009975650621295875,0.009835320849593824,2.5571394775471616e-278,-6.3534937398508046e-279,2.3230340514018586e-279,60.32820103300863,0.0,4512,5304,5496,5540,5540
0.0025,0.5082300486912146,6.088748522809196,60.00118567126212,0.13738,0.05666,0.0005,-0.009903226975252578,6.0000000000002244e-05,5.060993073822858,6.85157880206936e-275,1.752307252368166e-274,3.6744768314495344e-274,,,,-8.416652225371128e-278,-6.547895229943194e-276,8.498792157131179e-275,0.0001234327442943461,0.0014933335621945636,0.014721482732870144,3.352006551386018e-278,-1.765293753160464e-278,2.4335123587125494e-278,60.311470205207854,0.0,4512,5304,5496,5540,5540
0.00333,0.5113818909552207,6.088839999302199,59.98465688963069,0.13757,0.05686,0.0005,-0.00990252645530318,6.000000000000227e-05,5.060711293079204,-1.2917148886312916e-275,2.482470700237578e-274,5.729593249502474e-274,,,,-2.183325979873387e-277,-1.6970525937513393e-275,2.2026938391592977e-274,0.00016494267577526196,0.0019891014573125017,0.019606286362287933,3.578356951097952e-278,-3.489335379335551e-278,6.262050349719327e-278,60.29506236950268,0.0,4512,5304,5496,5540,5540
0.00417,0.5143235829006788,6.08915879126933,59.96867036581667,0.13738,0.05708,0.0005,-0.009902558409128175,6.000000000000241e-05,5.060781283164468,-1.1475894407766552e-274,3.1328949638074335e-274,7.699884497007902e-274,,,,-3.642479824921621e-277,-2.8304846478855674e-275,3.6738432400335044e-274,0.00020720379270907274,0.00249085936348163,0.024548603351866875,3.052305912867768e-278,-5.802978340235377e-278,1.1795263770836532e-277,60.27921539782348,0.0,4512,5304,5496,5540,5540
0.005,0.5169401584136595,6.089715511578964,59.95342968098819,0.13732,0.05694,0.0005,-0.00990342813347991,6.000000000000265e-05,5.061253823037785,-2.311779098417949e-274,3.609984563331792e-274,9.34386565773466e-274,,,,-5.088653907586672e-277,-3.9537119379976045e-275,5.131748647421732e-274,0.00024918808651359144,0.0029866796046620382,0.029430811927922372,1.6439450900335565e-278,-8.548105738926664e-278,1.873403011508455e-277,60.26413189163635,0.0,4512,5304,5496,5540,5540
0.00583,0.5191078909315793,6.090500533160846,59.93910529116579,0.13779,0.05676,0.0005,-0.00990527989215331,6.0000000000002976e-05,5.062201156331745,-3.5315983105043893e-274,3.814281559548977e-274,1.0391503377274552e-273,,,,-6.35781943398314e-277,-4.939301994367145e-275,6.411008037763503e-274,0.0002913671566745101,0.003482554470167463,0.03431181686544122,-7.349815037998615e-279,-1.1570635841543268e-277,2.676859487977233e-277,60.24997935976675,0.0,4512,5304,5496,5540,5540
0.00667,0.5207112106085433,6.091484447521092,59.925842725530444,0.13772,0.05672,0.0005,-0.009908240561005104,6.0000000000003356e-05,5.06368823307478,-4.68655026235984e-274,3.64993439582501e-274,1.0566536070426192e-273,,,,-7.261600593422198e-277,-5.6409207949267343e-275,7.321685810536318e-274,0.00033420978329616624,0.00398447661534152,0.039250492453625135,-4.12102307879138e-278,-1.4646042099476457e-277,3.5403726293013985e-277,60.23689856976581,0.0,4512,5304,5496,5540,5540
0.0075,0.5216604221398771,6.092620204667332,59.91377410181866,0.13753,0.0567,0.0005,-0.009912354271600584,6.000000000000376e-05,5.065739313405092,-5.631018377596858e-274,3.036306216466223e-274,9.615472533308706e-274,,,,-7.601656494714868e-277,-5.904508070240232e-275,7.663817843581441e-274,0.00037664629602280356,0.004480509791889089,0.04412934301409176,-8.321460035647351e-278,-1.7368110946349404e-277,4.3620124725723517e-277,60.22501538130234,0.0,4512,5304,5496,5540,5540
