TIME,REAR_FORCE_X,REAR_FORCE_Y,REAR_FORCE_Z,REAR_COFP_X,REAR_COFP_Y,REAR_COFP_Z,REAR_FREEMOMENT_X,REAR_FREEMOMENT_Y,REAR_FREEMOMENT_Z,LEAD_FORCE_X,LEAD_FORCE_Y,LEAD_FORCE_Z,LEAD_COFP_X,LEAD_COFP_Y,LEAD_COFP_Z,LEAD_FREEMOMENT_X,LEAD_FREEMOMENT_Y,LEAD_FREEMOMENT_Z,REAR_MOMENTUM_X,REAR_MOMENTUM_Y,REAR_MOMENTUM_Z,LEAD_MOMENTUM_X,LEAD_MOMENTUM_Y,LEAD_MOMENTUM_Z,REAR_RESULT,LEAD_RESULT,kh_time,fc_time,mer_time,br_time,mir_time
0.0,-0.8984125612163116,5.528943011083881,52.201171941828086,0.18461,0.04778,0.0006,-0.008529504867228036,5.0000000000004454e-05,4.361700040837038,5.83e-322,5e-324,-9.44e-322,,,,0.0,1.83e-322,3.95e-322,0.0,0.0,0.0,0.0,-0.0,0.0,52.50084483177641,0.0,5136,6228,6392,6436,6440
0.00083,-0.8959046800343361,5.523687560834506,52.20703363067578,0.18461,0.04817,0.0006,-0.00855361271407229,5.0000000000004346e-05,4.373363478270897,7.3e-322,-1.7e-322,-1.393e-321,,,,2.5e-323,1.43e-322,5.3e-322,-7.304934636717576e-05,0.0004499691695286554,0.0042506146611649915,0.0,0.0,-0.0,52.506077076657874,0.0,5136,6228,6392,6436,6440
0.00167,-0.8934084715637987,5.518665437628266,52.21224790426935,0.18479,0.04798,0.0006,-0.008578009503635041,5.000000000000425e-05,4.385199814393779,8.3e-322,-3.6e-322,-1.803e-321,,,,4e-323,1.04e-322,6.5e-322,-0.00014677262683932213,0.0009049361977713185,0.008552897898967802,0.0,0.0,-0.0,52.51069108406795,0.0,5136,6228,6392,6436,6440
0.0025,-0.8909810823836323,5.514080974553845,52.21681702409131,0.18484,0.04782,0.0006,-0.00860233605458016,5.000000000000417e-05,4.397049498861281,8.7e-322,-5.7e-322,-2.13e-321,,,,4.4e-323,7e-323,7.56e-322,-0.00021941780216485298,0.0013540958533308704,0.012804361775798757,0.0,0.0,-0.0,52.51471142842294,0.0,5136,6228,6392,6436,6440
0.00333,-0.8886763080449286,5.510105081175641,52.22080728560526,0.18551,0.04797,0.0006,-0.00862616166517471,5.000000000000409e-05,4.408712011350276,8.15e-322,-7.7e-322,-2.3e-321,,,,4.4e-323,4.4e-323,8.25e-322,-0.00029187032401528537,0.0018029070039387014,0.017056174117882968,0.0,0.0,-0.0,52.51822271503865,0.0,5136,6228,6392,6436,6440
0.00417,-0.8865365387801791,5.506863620998469,52.22433922262286,0.18429,0.04826,0.0006,-0.00864900099901623,5.000000000000401e-05,4.419953072649366,6.67e-322,-9.5e-322,-2.27e-321,,,,4e-323,3e-323,8.4e-322,-0.0003650126437301735,0.002256828148405679,0.021359523044314984,0.0,0.0,-0.0,52.52135852407526,0.0,5136,6228,6392,6436,6440
0.005,-0.8845866585235802,5.504430395584458,52.22757529627825,0.18437,0.04777,0.0006,-0.008670338769910533,5.0000000000003926e-05,4.430516520166706,3.9e-322,-1.067e-321,-1.97e-321,,,,3e-323,2.5e-323,7.8e-322,-0.0004371177257772055,0.002705114444761795,0.025611917162251228,0.0,0.0,-0.0,52.52428837085455,0.0,5136,6228,6392,6436,6440
0.00583,-0.8828310244429566,5.502824578948941,52.230707475547064,0.18433,0.04782,0.0006,-0.008689659477304502,5.000000000000387e-05,4.440139434239927,5e-324,-1.097e-321,-1.37e-321,,,,2e-323,3e-323,6.3e-322,-0.0005090719507772977,0.0031532363056575113,0.029864570541316394,0.0,0.0,-0.0,52.52720506899802,0.0,5136,6228,6392,6436,6440
0.00667,-0.8812540514487257,5.502012039684184,52.23394729256971,0.18468,0.0479,0.0006,-0.008706478757757222,5.000000000000386e-05,4.448568707717642,-4.9e-322,-1.02e-321,-4.6e-322,,,,1e-323,4.4e-323,3.8e-322,-0.0005817557840741868,0.003606657584018433,0.03416872324707234,0.0,0.0,-0.0,52.53031500905905,0.0,5136,6228,6392,6436,6440
0.0075,-0.8798239065762762,5.501910003047988,52.23751843768524,0.18505,0.04799,0.0006,-0.008720373622875597,5.0000000000003885e-05,4.4555775955001256,-1.06e-321,-8.05e-322,7.5e-322,,,,5e-324,7e-323,2.5e-323,-0.0006534519093623217,0.004054643756261124,0.03842191332414961,0.0,0.0,0.0,52.5338313500522,0.0,5136,6228,6392,6436,6440
0.00833,-0.8784977601837055,5.502394522104723,52.24164841085501,0.18463,0.04767,0.0006,-0.00873101007647604,5.000000000000395e-05,4.4609813754839704,-1.675e-321,-4.45e-322,2.204e-321,,,,1e-323,1e-322,-4.2e-322,-0.0007250358218986207,0.00450264549993688,0.042675416925303966,0.0,0.0,0.0,52.537966581082344,0.0,5136,6228,6392,6436,6440
0.00917,-0.8772265900153073,5.50331016067405,52.24655445755958,0.1846,0.04759,0.0006,-0.008738167491452375,5.000000000000406e-05,4.4646516489698165,-2.263e-321,6.4e-323,3.794e-321,,,,2.5e-323,1.3e-322,-9.3e-322,-0.0007973751765755204,0.00495610254427673,0.04698053985988838,0.0,0.0,0.0,52.54291961721909,0.0,5136,6228,6392,6436,6440
0.01,-0.8759579567232572,5.504481357977095,52.252421064751786,0.1846,0.04758,0.0006,-0.008741759816510054,5.000000000000418e-05,4.466529096557552,-2.76e-321,7e-322,5.395e-321,,,,5e-323,1.53e-322,-1.467e-321,-0.0008687499492500675,0.005404246248688296,0.051234849901864964,0.0,-0.0,0.0,52.548854644895734,0.0,5136,6228,6392,6436,6440
0.01083,-0.874636120614173,5.50572506359708,52.25936970700959,0.18569,0.04797,0.0006,-0.008741854228491323,5.000000000000428e-05,4.466634743774076,-3.093e-321,1.433e-321,6.83e-321,,,,8.4e-323,1.7e-322,-1.98e-321,-0.0009400192600295901,0.005852488267420213,0.055489681671869524,0.0,-0.0,0.0,52.55587235498347,0.0,5136,6228,6392,6436,6440
0.01167,-0.8731999217732969,5.506864037153312,52.267424303004596,0.18419,0.04786,0.0006,-0.008738687156642116,5.000000000000433e-05,4.46507944662134,-3.167e-321,2.204e-321,7.885e-321,,,,1.3e-322,1.7e-322,-2.4e-321,-0.0010120336006480388,0.006306228963549331,0.05979639463867013,0.0,-0.0,0.0,52.56397695092517,0.0,5136,6228,6392,6436,6440
0.0125,-0.8715798348926662,5.507739724392818,52.276478125311264,0.18388,0.04778,0.00059,-0.008732674788439043,5.0000000000004346e-05,4.462069934735462,-2.905e-321,2.93e-321,8.35e-321,,,,1.8e-322,1.53e-322,-2.663e-321,-0.0010830662017115452,0.006754650004587517,0.06405253372238053,0.0,-0.0,0.0,52.57304455199826,0.0,5136,6228,6392,6436,6440
