TIME,REAR_FORCE_X,REAR_FORCE_Y,REAR_FORCE_Z,REAR_COFP_X,REAR_COFP_Y,REAR_COFP_Z,REAR_FREEMOMENT_X,REAR_FREEMOMENT_Y,REAR_FREEMOMENT_Z,LEAD_FORCE_X,LEAD_FORCE_Y,LEAD_FORCE_Z,LEAD_COFP_X,LEAD_COFP_Y,LEAD_COFP_Z,LEAD_FREEMOMENT_X,LEAD_FREEMOMENT_Y,LEAD_FREEMOMENT_Z,REAR_MOMENTUM_X,REAR_MOMENTUM_Y,REAR_MOMENTUM_Z,LEAD_MOMENTUM_X,LEAD_MOMENTUM_Y,LEAD_MOMENTUM_Z,REAR_RESULT,LEAD_RESULT,kh_time,fc_time,mer_time,br_time,mir_time
0.0,3.620609142758227,8.532402517570803,96.82314700439413,0.30062,0.06678,0.00082,-0.0012720081280155255,1.0022228669959294e-05,0.6480723778218128,4.465089440431752e-241,2.2222966942276676e-241,-1.158782434601409e-240,,,,-3.0861906625390585e-244,-2.39854365793203e-242,3.113213570812955e-241,0.0,0.0,0.0,0.0,-0.0,0.0,97.26578277647792,0.0,3644,4660,4772,4820,4816
0.00083,3.6238785000267413,8.518349559028675,96.79919878115375,0.30057,0.06674,0.00082,-0.0013046556614795353,1.0018281550515434e-05,0.6651807365172036,4.960978327163322e-241,4.7399796144033714e-241,-9.395224694087824e-241,,,,-1.3526945879960003e-244,-1.0522457295306122e-242,1.365769615629726e-241,0.00029493395866924023,0.0006941616931664797,0.007882656130448333,3.837493579204469e-245,-2.8344471193883255e-245,-8.542514009961091e-245,97.2408332917097,0.0,3644,4660,4772,4820,4816
0.00167,3.6266949376483644,8.50452684631868,96.77612255498506,0.30042,0.06672,0.00082,-0.0013354618271099238,1.0011326228093892e-05,0.6813338662591756,5.039136406752213e-241,7.406774243679457e-241,-5.571489155156058e-241,,,,9.959488591952793e-245,7.719865623584946e-243,-1.002014495476775e-241,0.00059367208544833,0.0013955382468196016,0.015858346520139927,7.957740851872346e-245,-7.839152643995612e-245,-1.4709099450126556e-244,97.21675673374425,0.0,3644,4660,4772,4820,4816
0.0025,3.6285827736033083,8.491186767004166,96.75532807091972,0.30082,0.0669,0.00082,-0.0013624664381430883,1.0001347757853646e-05,0.6955177402700664,4.5788384982422004e-241,9.966622424877689e-241,-1.0358866403927191e-242,,,,3.864006441702448e-244,2.999832742362347e-242,-3.893673488396206e-241,0.0008890453239899525,0.002087459241588395,0.02373730217229645,1.1873362705319147e-244,-1.4912123028715254e-244,-1.7019508756488262e-244,97.19496065006838,0.0,3644,4660,4772,4820,4816
0.00333,3.6291356831756905,8.478546925777525,96.7380157705436,0.30099,0.06669,0.00082,-0.0013839662796806419,9.98866494475322e-06,0.7068514602449268,3.4867539222417815e-241,1.2106655879457994e-240,6.842473446719733e-241,,,,7.072403445366881e-244,5.4922300103873575e-242,-7.128709046671351e-241,0.0011845179289431108,0.002778322554822077,0.031614706440098186,1.5156986363584485e-244,-2.3898485725584877e-244,-1.4276007678187306e-244,97.17664369076272,0.0,3644,4660,4772,4820,4816
0.00417,3.628045442101622,8.466778405088718,96.7250776942297,0.30089,0.06675,0.00082,-0.001398633944967166,9.973983179643088e-06,0.7146484081949303,1.714655680256712e-241,1.3476691073714104e-240,1.4892068248406562e-240,,,,1.0356248896028713e-243,8.043445403827297e-242,-1.0440087570254911e-240,0.0014835283056667866,0.003476503849104428,0.03958577281703378,1.7300071148005914e-244,-3.4439336337230843e-244,-5.320941808961368e-245,97.16269708713114,0.0,3644,4660,4772,4820,4816
0.005,3.625123022925049,8.45599996324689,96.71704309299277,0.30086,0.06668,0.00082,-0.0014055970043928172,9.958417380420954e-06,0.7184568407835378,-7.231274022922791e-242,1.3718095775256836e-240,2.344757079694072e-240,,,,1.3371223866195756e-243,1.038603225078589e-241,-1.348067348150189e-240,0.00177881567363072,0.004165455540646923,0.04746109171746279,1.7703737182889403e-244,-4.551074198524965e-244,1.0287700340985193e-244,97.1536508678989,0.0,3644,4660,4772,4820,4816
0.00583,3.620309323810035,8.446277665206052,96.71407374310135,0.30088,0.0667,0.00082,-0.001404473648652262,9.943473888249872e-06,0.7180780972759537,-3.7345219666104835e-241,1.2501336455091174e-240,3.1694891051916336e-240,,,,1.571050103035419e-243,1.220396725486394e-241,-1.5840280676925146e-240,0.0020737880926148256,0.004853572616317686,0.05533596263053543,1.5888961260068557e-244,-5.6185066137707784e-244,3.273702369658264e-244,97.14966961335416,0.0,3644,4660,4772,4820,4816
0.00667,3.613673453010161,8.437628933255345,96.71600562740812,0.30076,0.06669,0.00082,-0.0013953655057738366,9.930981505293617e-06,0.7135629128197155,-7.139078144896244e-241,9.570366679190239e-241,3.863578749479494e-240,,,,1.6933141951988808e-243,1.3154704097142888e-241,-1.7074297273802137e-240,0.002371842650985371,0.005549223335987492,0.06330566876075916,1.1408820542125557e-244,-6.527904926309441e-244,6.171466987139861e-244,97.15059424605255,0.0,3644,4660,4772,4820,4816
0.0075,3.605397835647247,8.43002971201133,96.7224246501096,0.30094,0.06669,0.00082,-0.0013788135176768712,9.922964572996357e-06,0.7051888954295725,-1.0664296887130647e-240,4.790763673196671e-241,4.31492918707231e-240,,,,1.6603898259728087e-243,1.29000869601176e-241,-1.674381019061019e-240,0.002665741871753547,0.006235931020924266,0.07118083741500232,4.16079951596193e-245,-7.11256808465064e-244,9.501060245729149e-244,97.15601743945052,0.0,3644,4660,4772,4820,4816
